DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2019년 02월 25일,"1,273.61","1,274.95","1,264.93","1,267.73",-0.48%
2019년 02월 22일,"1,276.08","1,279.08","1,270.71","1,273.87",-0.15%
2019년 02월 21일,"1,273.40","1,279.86","1,272.35","1,275.81",0.19%
2019년 02월 20일,"1,273.62","1,277.57","1,270.99","1,273.39",-0.01%
2019년 02월 19일,"1,273.51","1,278.27","1,271.27","1,273.51",-0.04%
2019년 02월 18일,"1,272.56","1,277.36","1,271.09","1,274.02",0.14%
2019년 02월 15일,"1,272.27","1,276.95","1,266.19","1,272.20",-0.01%
2019년 02월 14일,"1,268.14","1,275.58","1,265.68","1,272.33",0.38%
2019년 02월 13일,"1,269.86","1,274.41","1,266.97","1,267.53",-0.19%
2019년 02월 12일,"1,269.73","1,273.54","1,265.80","1,269.92",0.02%
2019년 02월 11일,"1,273.49","1,275.64","1,268.55","1,269.67",-0.35%
2019년 02월 08일,"1,275.60","1,279.12","1,270.84","1,274.12",-0.17%
2019년 02월 07일,"1,274.19","1,279.93","1,273.37","1,276.27",0.13%
2019년 02월 06일,"1,275.59","1,279.72","1,273.67","1,274.59",-0.06%
2019년 02월 05일,"1,281.06","1,285.53","1,273.55","1,275.31",-0.45%
2019년 02월 04일,"1,282.04","1,286.01","1,278.74","1,281.07",-0.10%
2019년 02월 01일,"1,273.26","1,285.98","1,272.46","1,282.38",0.71%
2019년 01월 31일,"1,275.24","1,282.16","1,272.13","1,273.37",-0.15%
2019년 01월 30일,"1,278.06","1,281.41","1,272.65","1,275.31",-0.22%
2019년 01월 29일,"1,278.87","1,284.32","1,274.61","1,278.11",-0.03%
2019년 01월 28일,"1,276.09","1,282.12","1,273.57","1,278.54",0.18%
2019년 01월 25일,"1,276.29","1,277.99","1,269.17","1,276.19",0.00%
2019년 01월 24일,"1,282.02","1,288.17","1,274.31","1,276.16",-0.46%
2019년 01월 23일,"1,285.58","1,288.05","1,278.92","1,282.02",-0.28%
2019년 01월 22일,"1,288.79","1,291.39","1,282.33","1,285.58",-0.30%
2019년 01월 21일,"1,280.62","1,291.08","1,279.07","1,289.41",0.77%
2019년 01월 18일,"1,279.55","1,281.44","1,274.47","1,279.57",0.02%
2019년 01월 17일,"1,277.52","1,282.85","1,275.45","1,279.26",0.13%
2019년 01월 16일,"1,281.87","1,284.04","1,275.62","1,277.63",-0.31%
