,count,mean,std,min,25%,50%,75%,max
MAPMINDXIndex120,2981.0,0.006953339334884,0.21342941585936737,-0.55203300248919,-0.12475589348583771,0.014572478199176508,0.12254368040627206,0.691202326107303
MAPMINDXIndex260,2981.0,0.006953339334884,0.21342941585936737,-0.55203300248919,-0.12475589348583771,0.014572478199176508,0.12254368040627206,0.691202326107303
Google_close260,2981.0,0.10368801958758218,0.2090057293363748,-0.7270545797613925,0.01863305710698171,0.138800253575889,0.22889230287915652,0.6880197160856083
Aspeed_close260,2981.0,0.06889422159522941,0.14784142930940758,-0.8141363747819614,0.0,0.0,0.030636969461889763,0.6798912649266056
Micron_close120,2981.0,0.03093281880132659,0.28133651084096023,-0.8236535563343723,-0.19211727775110932,0.05498693070694349,0.2742052704098088,0.6715636088927708
MXWO0MTIndex260,2981.0,0.0186786069136952,0.24030393670999697,-1.0000015187028906,-0.0741957543369205,0.055789086552431755,0.15165316545944307,0.6698399040873877
IXKIndex260,2981.0,0.09135917421811032,0.1763875633125541,-0.6480903466577317,0.010032405699580416,0.12663468015634294,0.19768404788781258,0.6581814195970743
INJCSPIndex260,2981.0,-0.01773667905185004,0.18041475920327135,-0.3341406887154914,-0.1069084386841137,-0.059846768586672816,-0.009032471783732454,0.6564597422479981
INJCSPIndex120,2981.0,-0.01773667905185004,0.18041475920327135,-0.3341406887154914,-0.1069084386841137,-0.059846768586672816,-0.009032471783732454,0.6564597422479981
LamResearch_close260,2981.0,0.08365350263447265,0.2759762680724358,-0.939927738790423,-0.09804834951621366,0.13169165535388228,0.2895349542121992,0.6562139255142627
Microsoft_close260,2981.0,0.07868675331324884,0.1806096874268243,-0.614180348451042,-0.022973308280063165,0.10690799026750808,0.20947001268908894,0.6487438959503571
Aspeed_close120,2981.0,0.030709145264707246,0.10694450982025401,-0.9724852902177963,0.0,0.0,0.0,0.6453775321186859
SKLICONTIndex120,2981.0,0.023807819571870625,0.21465276651826273,-0.5572986975020111,-0.09619399979765397,0.03945765194476536,0.16648138151243153,0.633961757594875
SKLICONTIndex260,2981.0,0.023807819571870625,0.21465276651826273,-0.5572986975020111,-0.09619399979765397,0.03945765194476536,0.16648138151243153,0.633961757594875
KOVMDOMSIndex260,2981.0,0.021812465873200924,0.18697358113970305,-0.4869158070996118,-0.09297156035779608,0.029683029781073955,0.133748787931653,0.6338187079585804
KOVMDOMSIndex120,2981.0,0.021812465873200924,0.18697358113970305,-0.4869158070996118,-0.09297156035779608,0.029683029781073955,0.133748787931653,0.6338187079585804
XCIIndex260,2981.0,0.08243220116036361,0.16246224758606245,-0.594457388679345,0.007054164806133301,0.11096983783520109,0.18442869927888594,0.631896744602769
LMNIDS03Comdty120,2981.0,-0.015191045782403443,0.22182525613359777,-0.841875052980626,-0.15246119980007222,-0.008989907133051034,0.12918176429407247,0.6287186845448893
HPE_close260,2981.0,0.0008023863836573772,0.14722495538781982,-0.5753671481687141,0.0,0.0,0.0,0.6272342340857491
KOMSM3YIndex260,2981.0,-0.005456601638717548,0.2197578560568631,-0.5383334798147899,-0.1431145523900219,0.004699945131868333,0.15836747119554806,0.6224924767373898
KOMSM3YIndex120,2981.0,-0.005456601638717548,0.2197578560568631,-0.5383334798147899,-0.1431145523900219,0.004699945131868333,0.15836747119554806,0.6224924767373898
KOVMTOTSIndex260,2981.0,0.0051057986372065435,0.21496565612506835,-0.6418021603199318,-0.13843153414842568,0.02560110669557858,0.14664881746515057,0.6199842455002553
KOVMTOTSIndex120,2981.0,0.0051057986372065435,0.21496565612506835,-0.6418021603199318,-0.13843153414842568,0.02560110669557858,0.14664881746515057,0.6199842455002553
CINDIndex260,2981.0,0.06813384947109204,0.18521680905559393,-0.7707800774957869,0.0207510502935353,0.09478341347885078,0.16726164559846346,0.6125983878508396
KOECGVTYIndex260,2981.0,-0.021809025255553702,0.29905432315081587,-0.7359664479233705,-0.23049333972891795,-0.041247031307427795,0.20249805294126944,0.606106650732338
KOECGVTYIndex120,2981.0,-0.021809025255553702,0.29905432315081587,-0.7359664479233705,-0.23049333972891795,-0.041247031307427795,0.20249805294126944,0.606106650732338
