DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2017년 12월 29일,9.481,9.5091,9.4494,9.4722,-0.09%
2017년 12월 28일,9.4855,9.5121,9.466,9.4809,-0.05%
2017년 12월 27일,9.5034,9.5128,9.4666,9.4854,-0.19%
2017년 12월 26일,9.5031,9.5272,9.4855,9.5034,-0.01%
2017년 12월 25일,9.5159,9.5392,9.4809,9.5039,-0.11%
2017년 12월 22일,9.5345,9.5465,9.4891,9.5148,-0.21%
2017년 12월 21일,9.5288,9.5648,9.4993,9.5344,0.05%
2017년 12월 20일,9.6171,9.628,9.5154,9.5296,-0.91%
2017년 12월 19일,9.6503,9.6768,9.5989,9.6172,-0.34%
2017년 12월 18일,9.6689,9.6934,9.641,9.6499,-0.23%
2017년 12월 15일,9.6919,9.7374,9.6398,9.6723,-0.20%
2017년 12월 14일,9.6366,9.7231,9.6158,9.6919,0.57%
2017년 12월 13일,9.6253,9.6652,9.6106,9.6366,0.12%
2017년 12월 12일,9.587,9.6395,9.5787,9.6252,0.38%
2017년 12월 11일,9.6295,9.6412,9.579,9.5883,-0.43%
2017년 12월 08일,9.6705,9.6912,9.6132,9.6299,-0.42%
2017년 12월 07일,9.7429,9.7567,9.6669,9.6706,-0.73%
2017년 12월 06일,9.6596,9.7798,9.6442,9.7422,0.86%
2017년 12월 05일,9.6631,9.6786,9.6128,9.6595,-0.04%
2017년 12월 04일,9.6646,9.6784,9.5906,9.6632,-0.01%
2017년 12월 01일,9.6689,9.7252,9.609,9.6644,-0.05%
2017년 11월 30일,9.668,9.7467,9.6427,9.6693,0.02%
2017년 11월 29일,9.7224,9.736,9.6309,9.6676,-0.57%
2017년 11월 28일,9.8275,9.8317,9.6866,9.7228,-1.06%
2017년 11월 27일,9.7403,9.8402,9.72,9.8267,0.97%
2017년 11월 24일,9.7468,9.7705,9.7109,9.7325,-0.14%
2017년 11월 23일,9.7659,9.8085,9.7382,9.7464,-0.19%
2017년 11월 22일,9.7038,9.7806,9.698,9.7654,0.64%
2017년 11월 21일,9.7415,9.775,9.6656,9.7037,-0.38%
2017년 11월 20일,9.762,9.8402,9.7321,9.741,-0.23%
2017년 11월 17일,9.704,9.7785,9.6979,9.7633,0.61%
2017년 11월 16일,9.7957,9.8179,9.67,9.704,-0.94%
2017년 11월 15일,9.8323,9.8785,9.7624,9.7957,-0.37%
2017년 11월 14일,9.856,9.8702,9.8,9.8323,-0.24%
2017년 11월 13일,9.8742,9.898,9.8426,9.856,-0.18%
2017년 11월 10일,9.8571,9.8892,9.8367,9.8733,0.17%
2017년 11월 09일,9.7847,9.9144,9.7556,9.8564,0.72%
2017년 11월 08일,9.7697,9.823,9.7661,9.7858,0.16%
2017년 11월 07일,9.7869,9.8047,9.7296,9.77,-0.18%
2017년 11월 06일,9.7964,9.7973,9.7348,9.7874,0.02%
2017년 11월 03일,9.7493,9.8002,9.7492,9.7856,0.36%
2017년 11월 02일,9.7343,9.7974,9.7285,9.7501,0.15%
2017년 11월 01일,9.843,9.8525,9.7294,9.7352,-1.09%
2017년 10월 31일,9.9375,9.9544,9.814,9.8422,-0.97%
2017년 10월 30일,9.9,9.9511,9.8867,9.9384,0.34%
2017년 10월 27일,9.9026,9.9314,9.8666,9.9044,0.02%
2017년 10월 26일,9.9153,9.9307,9.8547,9.9026,-0.13%
2017년 10월 25일,9.9296,9.9527,9.8468,9.9153,-0.14%
2017년 10월 24일,9.9687,9.9815,9.8966,9.9291,-0.40%
2017년 10월 23일,9.9595,9.9974,9.9107,9.9692,-0.06%
2017년 10월 20일,10.0315,10.042,9.962,9.975,-0.57%
2017년 10월 19일,10.0312,10.0783,10.0076,10.0317,0.00%
2017년 10월 18일,10.0816,10.0931,10.0096,10.0312,-0.50%
2017년 10월 17일,10.0573,10.1146,10.0503,10.0816,0.25%
2017년 10월 16일,10.0592,10.1128,10.0481,10.0569,-0.16%
2017년 10월 13일,10.0895,10.1119,10.0476,10.0726,-0.17%
2017년 10월 12일,10.0708,10.1179,10.0577,10.0895,0.19%
2017년 10월 11일,10.0956,10.1267,10.0625,10.0708,-0.25%
2017년 10월 10일,10.1524,10.1579,10.0679,10.0956,-0.55%
2017년 10월 09일,10.1632,10.1941,10.1371,10.1519,-0.15%
2017년 10월 06일,10.1265,10.1723,10.076,10.1675,0.41%
2017년 10월 05일,10.1365,10.1418,10.0989,10.126,-0.11%
2017년 10월 04일,10.1303,10.1602,10.106,10.137,0.07%
2017년 10월 03일,10.17,10.1945,10.1048,10.1302,-0.37%
2017년 10월 02일,10.1742,10.2002,10.1434,10.1682,-0.13%
2017년 09월 29일,10.2064,10.2148,10.1476,10.1814,-0.24%
2017년 09월 28일,10.1542,10.2162,10.128,10.2058,0.51%
2017년 09월 27일,10.1359,10.1829,10.0997,10.1542,0.18%
2017년 09월 26일,10.1561,10.2081,10.1212,10.136,-0.20%
2017년 09월 25일,10.1166,10.2,10.0521,10.1562,0.37%
2017년 09월 22일,10.0714,10.2099,10.0676,10.1187,0.47%
2017년 09월 21일,10.0851,10.1133,10.055,10.0712,-0.14%
2017년 09월 20일,10.1364,10.151,10.0672,10.0851,-0.51%
2017년 09월 19일,10.1273,10.166,10.1069,10.1365,0.09%
2017년 09월 18일,10.2195,10.2255,10.1055,10.1269,-0.94%
2017년 09월 15일,10.289,10.3507,10.1497,10.2234,-0.65%
2017년 09월 14일,10.2464,10.306,10.2126,10.29,0.43%
2017년 09월 13일,10.2446,10.273,10.2042,10.2464,0.02%
2017년 09월 12일,10.3316,10.3516,10.2401,10.2446,-0.84%
2017년 09월 11일,10.4607,10.4826,10.3218,10.3317,-1.57%
2017년 09월 08일,10.3998,10.5441,10.3911,10.4963,0.93%
2017년 09월 07일,10.3709,10.4375,10.3407,10.3997,0.28%
2017년 09월 06일,10.4077,10.4716,10.339,10.3707,-0.36%
2017년 09월 05일,10.3277,10.434,10.2927,10.4078,0.77%
2017년 09월 04일,10.2538,10.3683,10.1897,10.328,1.53%
2017년 09월 01일,10.2282,10.2356,10.154,10.1727,-0.54%
2017년 08월 31일,10.1944,10.2347,10.1653,10.2282,0.30%
2017년 08월 30일,10.2456,10.2695,10.1751,10.1971,-0.47%
2017년 08월 29일,10.2372,10.3997,10.2363,10.2456,0.08%
2017년 08월 28일,10.2612,10.2874,10.2269,10.2373,-0.19%
2017년 08월 25일,10.2984,10.3289,10.2346,10.2565,-0.41%
2017년 08월 24일,10.3413,10.3584,10.2904,10.2983,-0.42%
2017년 08월 23일,10.3353,10.3885,10.2954,10.3414,0.06%
2017년 08월 22일,10.4488,10.4602,10.3313,10.3347,-1.10%
2017년 08월 21일,10.4207,10.4833,10.3983,10.4493,0.11%
