DATE|Actual Value|Prediction Value
20180406|5.766809687927773e-05|5.197855508757289e-05
20180409|3.811723375387525e-05|5.4684762342006776e-05
20180410|5.796400217238263e-05|4.825086211302387e-05
20180411|4.078019926861248e-05|4.5154669349979775e-05
20180412|3.895012048955403e-05|4.6413933494114816e-05
20180413|2.8539621622793522e-05|3.994808874448414e-05
20180416|2.188494359243145e-05|3.605654382573798e-05
20180417|2.4802157408793235e-05|3.414420043960868e-05
20180418|2.583749778035437e-05|2.875497858983105e-05
20180419|1.9731874355032053e-05|2.7521086296091573e-05
20180420|2.5920100309121357e-05|2.8651536932384588e-05
20180423|4.846972886187446e-05|2.8433706158460513e-05
20180424|4.4978633738330926e-05|3.928995674164523e-05
20180425|3.69728821917871e-05|4.505097398909745e-05
20180426|4.2204040467096496e-05|3.71671038835018e-05
20180427|5.8071485455203e-05|3.781095503264756e-05
20180430|1.0063144236542349e-05|4.291253394322989e-05
20180502|1.0565605334215031e-05|3.427172604838935e-05
20180503|9.216301213255572e-06|2.5407165212761836e-05
20180504|8.583227851301274e-05|2.740272813409463e-05
20180508|5.0183276864001686e-05|4.14563863407538e-05
20180509|6.170044665683742e-05|3.954730305914017e-05
20180510|4.154271146289328e-05|4.4830532801754135e-05
20180511|3.0127152105285122e-05|3.908320840272362e-05
20180514|2.4119981113000766e-05|3.594498973397035e-05
20180515|2.7021960486275334e-05|3.551839081066316e-05
20180516|2.950904858166256e-05|3.3745787960710524e-05
20180517|2.9580205924030586e-05|3.351858819100562e-05
20180518|2.3906613017070202e-05|3.2681164999242196e-05
20180521|3.5770054457599046e-05|3.027321365589559e-05
20180523|4.219750586507079e-05|3.12070680895607e-05
20180524|3.350787628866348e-05|3.393671048760751e-05
20180525|3.799246624574039e-05|3.684069139001916e-05
20180528|3.21019164368322e-05|3.5717828424678496e-05
20180529|3.371379706673532e-05|3.184921918802747e-05
20180530|7.769662592922496e-05|3.9993449603863086e-05
20180531|4.786154719075064e-05|5.0623503604371434e-05
20180601|4.556085344133742e-05|4.076126714967609e-05
20180604|3.61049121950198e-05|4.017468662161262e-05
20180605|5.0992817532175416e-05|3.8430163147051325e-05
20180607|2.3247182006407964e-05|3.947496323903347e-05
20180608|2.35807324444521e-05|3.6788720539775144e-05
20180611|3.63289764521789e-05|3.349678966539944e-05
20180612|3.9879874117836764e-05|3.485968608428872e-05
20180614|3.130406571242027e-05|3.363684964959939e-05
20180615|2.661674522668517e-05|3.9897327249781155e-05
20180618|5.703866072011147e-05|3.209273688391642e-05
20180619|6.708815125374043e-05|4.213691848958158e-05
20180620|6.121913335511593e-05|6.600062853956807e-05
20180621|5.298140899082095e-05|4.587394657149313e-05
20180622|7.79151960982166e-05|5.5699858764931206e-05
20180625|6.524380427394205e-05|5.375499775787313e-05
20180626|7.843447904917556e-05|5.090060592124633e-05
20180627|5.4341479593230825e-05|5.070332108931764e-05
20180628|7.105050669707782e-05|5.888702711248014e-05
20180629|7.082484786163432e-05|5.622975903317189e-05
20180702|7.101800087923869e-05|5.467345233567057e-05
20180703|8.771259048100389e-05|6.201854837225978e-05
20180704|6.731737593217544e-05|6.572516428016319e-05
20180705|8.303515142578038e-05|6.064411731470524e-05
20180706|9.547136506879434e-05|6.65718590738029e-05
20180709|6.586811745983084e-05|6.970377663731387e-05
20180710|3.2135298424835594e-05|5.843698902625618e-05
20180711|5.596899399542903e-05|4.9772557269093444e-05
20180712|3.7133500446592354e-05|5.0705333791764665e-05
20180713|4.1927994014299284e-05|4.321687964358974e-05
20180716|3.5518805759656535e-05|4.193572458723576e-05
20180717|5.016642224153527e-05|4.08761314053647e-05
20180718|3.785842846030715e-05|4.1948367044325515e-05
20180719|3.332295139412925e-05|4.0300424152389064e-05
20180720|6.121728797518061e-05|3.976655572138274e-05
20180723|6.271484065597153e-05|4.688332203416489e-05
20180724|4.005922851481347e-05|5.842025679640535e-05
20180725|3.872303281801815e-05|4.875228080728442e-05
20180726|4.815754606682801e-05|4.103705783476488e-05
20180727|2.249949659102309e-05|4.072774068560223e-05
20180730|3.5215107692576185e-05|3.660144141276813e-05
20180731|3.2699030554618555e-05|3.7364184881707196e-05
20180801|2.7286475155752773e-05|3.816066174016272e-05
20180802|3.887445752573344e-05|3.36517488413042e-05
20180803|2.624953126389207e-05|3.7684409603676024e-05
20180806|3.2267928818957796e-05|3.404362363119424e-05
20180807|2.9064909893596816e-05|3.1837089520681965e-05
20180808|2.119691746103688e-05|3.291629406992726e-05
20180809|3.69537155298998e-05|3.240682675354462e-05
20180810|4.650340621037168e-05|3.2841927628993665e-05
20180813|5.382298843191313e-05|3.717051044765463e-05
20180814|3.3259512643200894e-05|4.1238629601301704e-05
20180816|8.068919002726195e-05|3.832660771624453e-05
20180817|1.7495428639663607e-05|4.3266188868892025e-05
20180820|3.789145618000557e-05|3.927959408785981e-05
