DATE|Actual Value|Prediction Value
20170904|2.5730262270757235e-05|2.6510475736844228e-05
20170905|2.1041143528234112e-05|3.175637069184985e-05
20170906|1.986309891804392e-05|2.8277701023391602e-05
20170907|2.1903438081526916e-05|2.6846800290974454e-05
20170908|2.4448566618785248e-05|2.535858165279144e-05
20170911|2.6060220056890554e-05|2.4981545141894947e-05
20170912|2.469245292233383e-05|2.3943528868167295e-05
20170913|2.5634212662805896e-05|2.333370877301842e-05
20170914|2.8473337163415497e-05|2.735524764548764e-05
20170915|2.6939102190634427e-05|2.502693191509677e-05
20170918|3.0768478726903735e-05|2.520148834952511e-05
20170919|3.1641768026815076e-05|2.4110258882197083e-05
20170920|3.3636806813095684e-05|2.6165734768391077e-05
20170921|3.101825235442246e-05|3.051142360576445e-05
20170922|3.319280027194405e-05|2.735287624384768e-05
20170925|2.925890001268059e-05|3.084630245791747e-05
20170926|2.962153460160912e-05|3.084434757195708e-05
20170927|2.725636431372262e-05|2.955846083008774e-05
20170928|2.6841142209905763e-05|2.7449802868091692e-05
20170929|2.485548026037348e-05|2.7996854576899707e-05
20171010|2.578406712835602e-05|2.680383084148023e-05
20171011|2.6252459239279948e-05|2.6020851806867153e-05
20171012|2.7670335406714536e-05|2.5651401753930974e-05
20171013|2.855698931511812e-05|2.5927080762549932e-05
20171016|2.8792766514625804e-05|2.8970462685496343e-05
20171017|2.883673465831538e-05|2.6408803067341883e-05
20171018|2.709221631028577e-05|2.623389596698614e-05
20171019|2.779371519781241e-05|2.759941586924068e-05
20171020|2.724716935339041e-05|3.0270967797583067e-05
20171023|2.72323884286009e-05|2.644910704974912e-05
20171024|2.620580138419995e-05|2.6530769283068106e-05
20171025|2.8063844524086238e-05|2.550601079053233e-05
20171026|2.793902116875795e-05|2.6283100263728254e-05
20171027|2.7973264658141703e-05|2.977484719952378e-05
20171030|2.9554593520483265e-05|2.5955805346265307e-05
20171031|3.325575389118152e-05|2.600236398777935e-05
20171101|3.8548655586361095e-05|2.607829047280651e-05
20171102|3.987205195677061e-05|2.5954967025010038e-05
20171103|4.2017857298865064e-05|2.744368017703242e-05
20171106|4.1660387093649816e-05|2.8175866441146244e-05
20171107|3.961430643263328e-05|3.0662272087972553e-05
20171108|3.492027857600797e-05|3.125048859266945e-05
20171109|3.545730339747876e-05|3.236578264767281e-05
20171110|3.176806890754008e-05|3.299303053097678e-05
20171113|3.412864911968031e-05|3.288272712482144e-05
20171114|3.3619896406061085e-05|3.267225643868341e-05
20171115|3.317660397707206e-05|3.197192395959813e-05
20171116|3.028837216416012e-05|3.697982194857385e-05
20171117|2.9853759704654772e-05|2.9182543696308447e-05
20171120|2.3909697132897265e-05|3.0553651086758974e-05
20171121|2.7745845306134896e-05|3.0663444295774055e-05
20171122|3.269705304762364e-05|2.9765506886026083e-05
20171123|3.3407039526065276e-05|2.79519139459053e-05
20171124|4.140995904105185e-05|2.671138839386405e-05
20171127|4.7008660560038764e-05|2.3686375001952935e-05
20171128|4.794875537789303e-05|3.4388838280125826e-05
20171129|4.444354889451481e-05|3.1036732391929166e-05
20171130|4.640777468752352e-05|3.166175210526922e-05
20171201|4.460741717263746e-05|3.524808649745823e-05
20171204|4.2300230145236254e-05|3.5794523878883054e-05
20171205|3.849200520878031e-05|3.34732365459814e-05
20171206|3.6711784853724954e-05|3.473183521495979e-05
20171207|3.552694319959312e-05|3.605123479592446e-05
20171208|5.539940722619811e-05|3.5620319794116014e-05
20171211|5.605655196319735e-05|3.4191413618518774e-05
20171212|5.407252232375612e-05|3.264878352975699e-05
20171213|5.501758817729244e-05|3.1149902298191664e-05
20171214|5.3113677389631466e-05|3.0790085323726906e-05
