DATE|Actual Value|Prediction Value
20180420|3.628778254945476e-05|3.288517748992576e-05
20180423|3.710165282725221e-05|3.1459753413635744e-05
20180424|3.635356019859165e-05|4.2064330372683125e-05
20180425|3.600425182396212e-05|5.1905712307386806e-05
20180426|3.5760703536214376e-05|4.488771307591814e-05
20180427|3.533619136619632e-05|4.120070406188673e-05
20180430|3.631744838989742e-05|4.520513482693149e-05
20180502|3.820736853760782e-05|4.0267417898867366e-05
20180503|3.995713094296393e-05|3.967613106985847e-05
20180504|4.130156149205218e-05|4.204277836249265e-05
20180508|3.955958844301034e-05|5.014737738752477e-05
20180509|3.821278370013064e-05|4.9900462773704516e-05
20180510|3.630679798951135e-05|5.326294446574537e-05
20180511|3.604611123897566e-05|4.803077966162425e-05
20180514|3.653374733960325e-05|4.880053211249105e-05
20180515|3.6892951569574166e-05|4.627763246941244e-05
20180516|3.6872690806594676e-05|4.161551599448219e-05
20180517|3.824917141351715e-05|4.432452718220904e-05
20180518|4.0124568680002615e-05|4.1835253271681e-05
20180521|4.199019469690487e-05|4.10535276038808e-05
20180523|4.285076242356597e-05|4.319442715356916e-05
20180524|4.4636646935223285e-05|3.843822709464166e-05
20180525|4.622344333448721e-05|4.270981884153929e-05
20180528|4.824554397465898e-05|4.5586466509451004e-05
20180529|4.935752213247891e-05|4.124260851965499e-05
20180530|5.1224357613996056e-05|5.144900391297507e-05
20180531|5.0880768710616456e-05|5.931126275582689e-05
20180601|5.2038591395040895e-05|4.946960991259129e-05
20180604|5.414617824702421e-05|4.686691398617111e-05
20180605|5.570680143388197e-05|4.425429551611428e-05
20180607|5.730891812856226e-05|4.4775579406139296e-05
20180608|6.09201272816816e-05|4.1262133472080053e-05
20180611|6.30344965324505e-05|3.913613795976805e-05
20180612|6.282481263108334e-05|4.145093469066368e-05
20180614|6.362926862496291e-05|4.0722248445078686e-05
20180615|6.392074036167153e-05|4.113616627687928e-05
20180618|6.46863028010523e-05|3.94888112241834e-05
20180619|6.361031005302947e-05|4.600752582750234e-05
20180620|6.27642236024193e-05|6.342206341799197e-05
20180621|6.159618835767879e-05|4.786080135345796e-05
